A	A avya Apa kvip pf palopaH vAkye <del>vAkyasyAnyaTAtvadyotane pUrbbammevamamaMsTA</del> <ins>vAkyasyAnya TAtvadyotane pUrbbaMmevamamaMsTA</ins> idAnImevamiti pratipAdane smftO A evaM manyase iti smftasyAnyaTA pratipAdane anukampAyAm samuccaye aNgIkAre IzadarTe kriyAyoge sImAyAM vyAptO ca vAkyasmftiBinne sya NittvamicCanti <del>aNato</del> <ins>aNito</ins> sya ekAjnipAtatvAt <del>pragfhyasaMjYA</del> <ins>pragf hyasaMjYA</ins> Nitastu na <del>ata voktam</del> <ins>atavoktam</ins> maryyAdAyAmaBiviDO kriyAyogezadarTayoH ya AkAraH sa <del>Nat</del> <ins>Nit</ins> proktaH <del>vAkyasmaraRayoraNat</del> <ins>vAkya smaraRayoraNit</ins> tatra sImAyAm A AtmaboDAt AtmaboDAt <del>udA</del> lOkikaM tadvadevedaM pramARaM tvAtmaniScayAt vyAptO brahmAstyAsakalAt sakalaM vyApyetyarTaH etadarTe <del>etadarTadvaye</del> vikalpena avyayIBAvaH AtmaboDam Asakalam DAtuyogaH upasargaH yaTA AgacCat grAmAt IzadarTe AkampaH AkekaraH vAkyaYca vAkyArTadyotakatA smaraRaM <del>pramARAntarAvAvagatasya dyAMtakftA na tu</del> <ins>pramARA ntarAvAvagatasya natu</ins> SabdamAtreRAvagatasyeti tayorBedaH <ins>A AkArovijayo nantodIrGacCAyovinAyakaH kzIro daDipayodaSca pASodIrGAsyavfttake pracaRqaekajorudro nArAyaREBeSvaraH pratizWA mAnadA kAnto viSvAnta kagajA ntakO pitAmahodviWAntoBrUH kriyA kAntiSca samBavaH dvitIyA mAnadA kASI viGnarAjaH kujIvi yat surAntakaSca hfdayaYcANguzWoBagamAlinI A AkAraM paramAScaryyaM SaNKajyotirmayaM priye brahmavizRu mayaM varRaM taTA rudramayaM priye paYcaprARamayaM varRaM svayaM paramakuRqalIm</ins>	A avya Apa kvip pf palopaH vAkye vAkyasyAnya TAtvadyotane pUrbbaMmevamamaMsTA idAnImevamiti pratipAdane smftO A evaM manyase iti smftasyAnyaTA pratipAdane anukampAyAm samuccaye aNgIkAre IzadarTe kriyAyoge sImAyAM vyAptO ca vAkyasmftiBinne sya NittvamicCanti aNito sya ekAjnipAtatvAt pragf hyasaMjYA Nitastu na atavoktam maryyAdAyAmaBiviDO kriyAyogezadarTayoH ya AkAraH sa Nit proktaH vAkya smaraRayoraNit tatra sImAyAm A AtmaboDAt AtmaboDAt lOkikaM tadvadevedaM pramARaM tvAtmaniScayAt vyAptO brahmAstyAsakalAt sakalaM vyApyetyarTaH etadarTe vikalpena avyayIBAvaH AtmaboDam Asakalam DAtuyogaH upasargaH yaTA AgacCat grAmAt IzadarTe AkampaH AkekaraH vAkyaYca vAkyArTadyotakatA smaraRaM pramARA ntarAvAvagatasya natu SabdamAtreRAvagatasyeti tayorBedaH A AkArovijayo nantodIrGacCAyovinAyakaH kzIro daDipayodaSca pASodIrGAsyavfttake pracaRqaekajorudro nArAyaREBeSvaraH pratizWA mAnadA kAnto viSvAnta kagajA ntakO pitAmahodviWAntoBrUH kriyA kAntiSca samBavaH dvitIyA mAnadA kASI viGnarAjaH kujIvi yat surAntakaSca hfdayaYcANguzWoBagamAlinI A AkAraM paramAScaryyaM SaNKajyotirmayaM priye brahmavizRu mayaM varRaM taTA rudramayaM priye paYcaprARamayaM varRaM svayaM paramakuRqalIm
ABirUpya		ABirUpya na aBirUpasya BAvaH zyaY sOndaryye ABi rUpyAcca vimbAnAM devaH sanniDyadfcCati haya rA
ABirupya	ABirupya na aBirUpasya BAvaH zyaY sOndaryye ABirUpyAcca vimbAnAM devaH sAnniDyadfcCati haya rA	
ADAnika		ADAnika pu ADAnaM garBADAnaM prayojanamasya WaY Page b garBADAnanimitte vedavihite garBapAtrasaMskAraBede
ADamarRRya		ADamarRRya na aDamarRRasya BAvaH karma vA zyaY fRagrahaRe avaSyadeyadravyasvAmitve AvaSyakADamarRyayorRiniH pA
ADamarRya	ADamarRya na aDamarRasya BAvaH karma vA zyaY fRagrahaRe avaSyadeyadravyasvAmitve AvaSyakADamarRyayorRiniH pA	
AGAnika	AGAnika pu ADAnaM garBADAnaM prayojanamasya WaY garBADAnanimitte vedavihite garBapAtrasaMskAraBede	
AKukarRRaparRikA		AKukarRRaparRikA strI AKukarRRAvivA parRRAnyasvA vA kap undurakARI latAyAm
AKukarRaparRikA	AKukarRaparRikA strI AKukakarRAviva parRAnyasyA vA kapz undurakARI latAyAm	
ASekuwiMn	ASekuwiMn pu ASete smin A SI vic sa iva kuwati Rini parvvataBede SabdamAlA	
ASekuwin		ASekuwin pu ASete smin A SI vic sa iva kuwati Rini parvvataBede SabdamAlA
AcCaka	AcCaka pu A Co bA qu saMjYAyAM kan Aic vfkze	
AcCuka		AcCuka pu A Co bA qu saMjYAyAM kan Aic vfkze
Adinaba		Adinaba pu AdInavasya pf vede hrasvaH AdInaSabdArTe A dinavaM pratidIvne GftenAsmA aBikzara aTa
Adinava	Adinava pu AdInavasya pf vede hrasvaH AdInaSabdArTe AdinavaM pratidIvne DftenAsmAz aBikzara aTa	
AdityasUn	AdityasUn pu ta sUryyaputre sugrIve karRe yame SanEsvare ca aruRAtmajaSabde vivftiH pu	
AdityasUnu		AdityasUnu pu ta sUryyaputre sugrIve karRRe yame SanEsvare ca aruRAtmajaSabde vivftiH pf
AgAragoDikA		AgAragoDikA strI ta gfhagoDikAyAm wikwiki
AgAragoGikA	AgAragoGikA strI ta gfhagoDikAyAm wikwiki	
AgUrRRa		AgUrRRa tri A gura kta udyate BAve kta udyame na
AgUrRa	AgUrRa tri A gura kta udyate BAve kta udyame na	
AgamAvedin	AgamAvedin tri AgamaM vetti vida Rini ta Agamavettari SaNkarAcAryyaparamagurO gOqapAdAcAryye pu	
Agamavedin		Agamavedin tri AgamaM vetti vida Rini ta Agamavettari SaNkarAcAryyaparamagurO gOqapAdA cAryye pu
AgrahAyARika	AgrahAyA Ra Rika na AgrahAyaRyAM deyamfRaM vuYWaY vA AgrahAyaRyAM deye fRe	
AgrahAyaRika	<ins>AgrahAya Ra Rika na AgrahAyaRyAM deyamfRaM vuY WaY vA AgrahAyaRyAM deye fRe</ins> AgrahAyaRika pu <del>AgrahAyaRo pUrRimA</del> <ins>AgrahAyaRI pUrRRimA</ins> sminmAse Wak cAndramArgaSIrze mAsi	AgrahAya Ra Rika na AgrahAyaRyAM deyamfRaM vuY WaY vA AgrahAyaRyAM deye fRe AgrahAyaRika pu AgrahAyaRI pUrRRimA sminmAse Wak cAndramArgaSIrze mAsi
AhArasamBava		AhArasamBava pu AhArAt BojyadravyAt samBavati sam BU ac AhArapAkaje dehasTe rasaDAtO rasasya yaTA hArajatvaM taTA sfkkaraSabde pfzWe uktam
Ahamata	Ahamata tri ahimato dUraBavaH aR sarpaviSzwadeSAdUraBave	
AharasamBava	AharasamBava pu AhArat BojyadravyAt samBavati sam BU ac AhArapAkaje dehasTe rasaDAtO rasasya yaTA hArajatvaM taTA sfkaraSabde uktam	
Ahimata		Ahimata tri ahimato dUraBavaH aR sarpaviSizwadeSAdU raBave
AhitAgni		AhitAgni tri Ahito gniryena vedamantrAdinA kfta Page b saMskArAgniyukte tadADAnaprakAraH ADAnaSabde pfzWe uktaprAyaH ASva SrO pra ka vistareRoktaH na darSena vinA SrAdDvamAhitAgnerdvijanmanaH manuH guro rapIdaM DanamAhitAgneH raGuH AhitAgniH sannavra tyamidaM caret tEtti na vA hitAgninAnftaM vaditavyam Sata brA devAn vA eza upAvarttate ya AhitAgnirBavati Eta brA AhAryyeREvAnAhitA gnim ASva SrO vA paranipAte agnyAhito pyatra
Ahitagni	Ahitagni tri Ahito gniryena vedamantrAdinA kftasaMskArAgniyukte tadADAnaprakAraH ADAnaSabde uktaprAyaH ASva SrO ka vistareRoktaH na darSona vinA SrAdDamAhitAgnerdvijanmanaH manuH gurorapIdaM DanamAhitAgneH raGuH AhitAgniH sannavratyamidaM carettEtti na vA hitAgninAnftaM vaditavyam Sata vrA devAn vA eza upAvarttate ya AhitAgnirBavati Eta brA AhAryyeREvAnAhitAgnim ASva SrO vA paranipAte agnyAhito pyatra	
AjYAnuvarttin		AjYAnuvarttin tri AjYAmanuvarttate anu vfta Rini ta striyAM NIp AjYAnusAreRa varttamAne dAsAdO
AjYanuvarttin	AjYanuvarttin tri AjYAmanuvarttate anu vfta Rini ta striyAM NIp AjYanusAreRa varttamAne dAsAdO	
